,LiNGAM, CLS-MML
pair1,"[0,1]",<-
pair2,"[1,0]",->
pair3,"[0,1]",->
pair4,"[0,1]",->
pair5,"[0,1]",->
pair6,"[0,1]",->
pair7,"[0,1]",<-
pair8,"[1,0]",->
pair9,"[0,1]",->
pair10,"[1,0]",<-
pair11,"[1,0]",->
pair12,"[0,1]",->
pair13,"[0,1]",<-
pair14,"[0,1]",<-
pair15,"[0,1]",<-
pair16,"[0,1]",<-
pair17,"[1,0]",->
pair18,"[0,1]",->
pair19,"[0,1]",->
pair20,"[1,0]",->
pair21,"[0,1]",->
pair22,"[1,0]",->
pair23,"[1,0]",->
pair24,"[1,0]",->
pair25,"[1,0]",->
pair26,"[0,1]",<-
pair27,"[1,0]",->
pair28,"[1,0]",<-
pair29,"[1,0]",->
pair30,"[0,1]",<-
pair31,"[0,1]",->
pair32,"[1,0]",->
pair33,"[0,1]",<-
pair34,"[0,1]",->
pair35,"[0,1]",<-
pair36,"[0,1]",->
pair37,"[1,0]",->
pair38,"[1,0]",->
pair39,"[0,1]",->
pair40,"[0,1]",<-
pair41,"[0,1]",<-
pair42,"[1,0]",->
pair43,"[1,0]",->
pair44,"[1,0]",<-
pair45,"[0,1]",->
pair46,"[0,1]",<-
pair47,"[1,0]",->
pair48,"[1,0]",<-
pair49,"[1,0]",<-
pair50,"[0,1]",<-
pair51,"[0,1]",->
pair52,"[0,1]",->
pair53,"[0,1]",->
pair54,"[0,1]",->
pair55,"[0,1]",->
pair56,"[0,1]",->
pair57,"[0,1]",->
pair58,"[0,1]",->
pair59,"[1,0]",->
pair60,"[0,1]",<-
pair61,"[1,0]",<-
pair62,"[1,0]",->
pair63,"[1,0]",<-
pair64,"[0,1]",<-
pair65,"[0,1]",<-
pair66,"[1,0]",<-
pair67,"[0,1]",<-
pair68,"[1,0]",->
pair69,"[0,1]",<-
pair70,"[1,0]",->
pair71,"[1,0]",->
pair72,"[1,0]",->
pair73,"[1,0]",->
pair74,"[0,1]",->
pair75,"[1,0]",<-
pair76,"[1,0]",<-
pair77,"[1,0]",<-
pair78,"[1,0]",->
pair79,"[1,0]",<-
pair80,"[1,0]",<-
pair81,"[0,1]",->
pair82,"[1,0]",<-
pair83,"[0,1]",<-
pair84,"[0,1]",->
pair85,"[1,0]",<-
pair86,"[1,0]",<-
pair87,"[1,0]",->
pair88,"[0,1]",->
pair89,"[0,1]",->
pair90,"[0,1]",->
pair91,"[1,0]",->
pair92,"[0,1]",<-
pair93,"[1,0]",->
pair94,"[0,1]",<-
pair95,"[1,0]",<-
pair96,"[0,1]",->
pair97,"[0,1]",->
pair98,"[0,1]",<-
pair99,"[1,0]",<-
